11252,70,1075,TDA. EL DIVINO NINO,105 19,22,24,MERIDA,MERIDA,KOPOMA,,97000,,104,A,32.8518666667,W0,MJS,3,281,004802810070,3,3,20.650352,-89.90212,17/04/2008,394.2224,12
11611,70,1075,TJON. LOS 5 HERMANOS,76 18,23,23-A,MERIDA,MERIDA,KOPOMA,,97000,,104,D,.4166666667,W0,S,1,281,004802810070,1,1,20.647355,-89.899381,10/06/2008,5,12
14025,70,1076,TDA. KIARITA,S/N 19,16,18,Kanasin,Kanasin,XELPAC - KANASIN,,97370,,104,A,23.652775,W0,LV,2,281,004802810070,2,2,20.934353,-89.555117,24/10/2008,283.8333,12
14195,70,1076,CERVELLAMA MI PEQUENO ANGELITO,108-F 25,22,24,Kanasin,Kanasin,CENTRO - KANASIN,,0,,104,C,8.199075,W0,RV,2,281,004802810070,2,2,20.932353,-89.559529,07/11/2008,98.3889,12
14419,70,1077,TDA. ALEJANDRA,297 37 DIAGONAL,32,34,Croc,Kanasin,FRACC. CROC,,0,,104,A,63.886575,W0,LRV,3,281,004802810070,3,3,20.931964,-89.566256,15/12/2008,766.6389,12
14605,70,1079,TJON. DIOS ES AMOR,231 77,56-A,56-C,MERIDA,MERIDA,SAN ANTONIO KAUA III,,0,,104,C,0,W0,L,1,281,004802810070,1,1,20.934628,-89.578435,23/01/2009,0,12
14666,70,1075,P.C.V. ANGEL CAN CHAN,S/N DOMICILIO CONOCIDO,DOMICILIO CONOCIDO,DOMICILIO CONOCIDO,Xtepen,Uman,XTEPEN,,97000,,135,A,35.2199583333,W0,MJS,3,281,004802810070,3,3,20.822132,-89.742455,04/02/2009,422.6395,12
14905,70,1076,TDA. LA GLORIA,127-B 25,24,24A,Kanasin,Kanasin,KANASIN,,97000,,104,A,24.8078833333,W0,LRV,3,281,004802810070,3,3,20.932275,-89.560996,13/03/2009,297.6946,12
15174,70,1077,SUPER WILLY S KANASIN II,396 36,35,37,Kanasin,Kanasin,CUAUHTEMOC - KANASIN,,97300,,104,A,32.5346416667,W0,LR,2,281,004802810070,2,2,20.932025,-89.565681,29/04/2009,390.4157,12
15529,70,1079,TORTILLERIA YAEL,339 56,75,75-A,MERIDA,MERIDA,SAN ANTONIO KAUA,,0,,105,D,3.78935,W0,RV,2,281,004802810070,2,2,20.935832,-89.578335,17/06/2009,45.4722,12
15716,70,1075,EL DIVINO NINO,S/N DOMICILIO CONOCIDO,DOMICILIO CONOCIDO,DOMICILIO CONOCIDO,UMAN,UMAN,XTEPEN - UMAN,,97000,,104,A,17.4560166667,W0,MJS,3,281,004802810070,3,3,20.822675,-89.743304,14/07/2009,209.4722,12
15855,70,1076,P.C.V. LUCIA PECH PUCH,106 22,23,25,Kanasin,Kanasin,CENTRO - KANASIN,,97300,,106,C,5.7685333333,W0,LR,2,281,004802810070,2,2,20.934,-89.5586,05/08/2009,69.2224,12
15932,70,1076,TDA. MARICELA,205 31-B,14-A,16,Kanasin,Kanasin,RINCONADA - KANASIN,,0,,104,A,22.72685,W0,LRV,3,281,004802810070,3,3,20.93504,-89.54551,15/08/2009,272.7222,12
16197,70,1076,TDA. PEDREGALES,144 39-A,16,18,Kanasin,Kanasin,PEDREGALES KANASIN,,97300,,135,C,6.057875,W0,RV,2,281,004802810070,2,2,20.925128,-89.558907,22/09/2009,72.6945,12
16535,70,1076,TJON. JUSTO JUEZ,104-D 20,23,25,Kanasin,Kanasin,CENTRO - KANASIN,,97000,,104,C,5.8611,W0,R,1,281,004802810070,1,1,20.933132,-89.557867,19/11/2009,70.3332,12
16623,70,1079,UNA OBRA DE AMOR,234-A 73,58,60,MERIDA,MERIDA,SAN ANTONIO KAUA III,,0,,104,A,29.2708333333,W0,LV,2,281,004802810070,2,2,20.938864,-89.578745,09/12/2009,351.25,12
17057,70,1076,P.C.V. DELTA MARIA LOPEZ,120 20,25,27,Kanasin,Kanasin,KANASIN,,0,,104,D,2.9907416667,W0,R,1,281,004802810070,1,1,20.931712,-89.558053,19/02/2010,35.8889,12
17197,70,1075,TDA. AURORA,96 27,14,10,Chochola,Chochola,CHOCHOLA,,0,,104,D,1.2916666667,W0,S,1,281,004802810070,1,1,20.745903,-89.829436,11/03/2010,15.5,12
17404,70,1076,PANADERIA GUADALUPE,93A CALLE 27,16,18,Kanasin,Kanasin,CENTRO - KANASIN,,97000,,105,A,22.0625,W0,LRV,3,281,004802810070,3,3,20.930438,-89.557021,09/04/2010,264.75,12
