Agosto,31,Viernes,2013-08-02,20:00:00,18:21:00,00:00:00,00:00:00,00:14:00,18:35:00,18:35:00,18:21:00,Procede
Agosto,31,Sabado,2013-08-03,20:00:00,17:38:00,00:00:00,00:00:00,00:10:00,17:48:00,17:48:00,17:38:00,Procede
Agosto,32,Lunes,2013-08-05,20:00:00,17:05:00,00:00:00,00:00:00,00:10:00,17:15:00,17:15:00,17:05:00,Procede
Agosto,32,Martes,2013-08-06,20:00:00,18:03:00,00:00:00,00:00:00,01:12:00,19:15:00,19:15:00,18:03:00,Procede
Agosto,32,Miercoles,2013-08-07,20:00:00,18:18:00,00:00:00,00:00:00,00:17:00,18:35:00,18:35:00,18:18:00,Procede
Agosto,32,Jueves,2013-08-08,20:00:00,18:00:00,00:00:00,00:00:00,00:30:00,18:30:00,18:30:00,18:00:00,Procede
Agosto,32,Sabado,2013-08-10,20:00:00,18:22:00,00:00:00,00:00:00,00:16:00,18:38:00,18:38:00,18:22:00,Procede
Agosto,33,Lunes,2013-08-12,20:00:00,17:48:00,00:00:00,00:00:00,00:15:00,18:03:00,18:03:00,17:48:00,Procede
Agosto,33,Martes,2013-08-13,20:00:00,18:21:00,00:00:00,00:00:00,00:18:00,18:39:00,18:39:00,18:21:00,Procede
Agosto,33,Miercoles,2013-08-14,20:00:00,19:06:00,00:00:00,00:00:00,00:21:00,19:27:00,19:27:00,19:06:00,Procede
Agosto,33,Jueves,2013-08-15,20:00:00,18:16:00,00:00:00,00:00:00,00:15:00,18:31:00,18:31:00,18:16:00,Procede
Agosto,33,Viernes,2013-08-16,20:00:00,20:00:00,02:01:00,00:00:00,00:21:00,22:22:00,22:22:00,22:01:00,Procede
Agosto,33,Sabado,2013-08-17,20:00:00,18:38:00,00:00:00,00:00:00,00:09:00,18:47:00,18:47:00,18:38:00,Procede
Agosto,34,Lunes,2013-08-19,20:00:00,17:46:00,00:00:00,00:00:00,00:12:00,17:58:00,17:58:00,17:46:00,Procede
Agosto,34,Martes,2013-08-20,20:00:00,18:34:00,00:00:00,00:00:00,00:25:00,18:59:00,18:59:00,18:34:00,Procede
Agosto,34,Miercoles,2013-08-21,20:00:00,19:11:00,00:00:00,00:00:00,00:14:00,19:25:00,19:25:00,19:11:00,Procede
Agosto,34,Jueves,2013-08-22,20:00:00,19:01:00,00:00:00,00:00:00,00:30:00,19:31:00,19:31:00,19:01:00,Procede
Agosto,34,Viernes,2013-08-23,20:00:00,19:50:00,00:00:00,00:00:00,00:47:00,20:37:00,20:37:00,19:50:00,Procede
Agosto,34,Sabado,2013-08-24,20:00:00,18:13:00,00:00:00,00:00:00,00:16:00,18:29:00,18:29:00,18:13:00,Procede
Agosto,35,Lunes,2013-08-26,20:00:00,16:49:00,00:00:00,00:00:00,00:14:00,17:03:00,17:03:00,16:49:00,Procede
Agosto,35,Martes,2013-08-27,20:00:00,19:56:00,00:00:00,00:00:00,00:13:00,20:09:00,20:09:00,19:56:00,Procede
Agosto,35,Miercoles,2013-08-28,20:00:00,18:48:00,00:00:00,00:00:00,00:15:00,19:03:00,19:03:00,18:48:00,Procede
Agosto,35,Jueves,2013-08-29,20:00:00,19:08:00,00:00:00,00:00:00,00:15:00,19:23:00,19:23:00,19:08:00,Procede
Agosto,35,Viernes,2013-08-30,20:00:00,20:00:00,00:06:00,00:00:00,00:12:00,20:18:00,20:18:00,20:06:00,Procede
Agosto,35,Sabado,2013-08-31,20:00:00,18:03:00,00:00:00,00:00:00,00:13:00,18:16:00,18:16:00,18:03:00,Procede
Septiembre,36,Lunes,2013-09-02,20:00:00,17:29:00,00:00:00,00:00:00,00:17:00,17:46:00,17:46:00,17:29:00,Procede
Septiembre,36,Martes,2013-09-03,20:00:00,18:43:00,00:00:00,00:00:00,00:17:00,19:00:00,19:00:00,18:43:00,Procede
Septiembre,36,Miercoles,2013-09-04,20:00:00,20:00:00,00:00:00,00:00:00,00:20:00,20:20:00,20:20:00,20:00:00,Procede
Septiembre,36,Jueves,2013-09-05,20:00:00,19:34:00,00:00:00,00:00:00,00:07:00,19:41:00,19:41:00,19:34:00,Procede
Septiembre,36,Viernes,2013-09-06,20:00:00,17:45:00,00:00:00,00:00:00,00:15:00,18:00:00,18:00:00,17:45:00,Procede
Septiembre,36,Sabado,2013-09-07,20:00:00,16:53:00,00:00:00,00:00:00,00:11:00,17:04:00,17:04:00,16:53:00,Procede
Septiembre,37,Lunes,2013-09-09,20:00:00,16:06:00,00:00:00,00:00:00,00:07:00,16:13:00,16:13:00,16:06:00,Procede
Septiembre,37,Martes,2013-09-10,20:00:00,17:48:00,00:00:00,00:00:00,00:11:00,17:59:00,17:59:00,17:48:00,Procede
Septiembre,37,Miercoles,2013-09-11,20:00:00,17:45:00,00:00:00,00:00:00,00:11:00,17:56:00,17:56:00,17:45:00,Procede
Septiembre,37,Jueves,2013-09-12,20:00:00,19:59:00,00:00:00,00:00:00,00:11:00,20:10:00,20:10:00,19:59:00,Procede
Septiembre,37,Viernes,2013-09-13,20:00:00,20:00:00,00:14:00,00:00:00,00:06:00,20:20:00,20:20:00,20:14:00,Procede
Septiembre,37,Sabado,2013-09-14,20:00:00,17:44:00,00:00:00,00:00:00,00:08:00,17:52:00,17:52:00,17:44:00,Procede
Septiembre,38,Lunes,2013-09-16,20:00:00,17:02:00,00:00:00,00:00:00,00:05:00,17:07:00,17:07:00,17:02:00,Procede
Septiembre,38,Martes,2013-09-17,20:00:00,17:31:00,00:00:00,00:00:00,00:09:00,17:40:00,17:40:00,17:31:00,Procede
Septiembre,38,Miercoles,2013-09-18,20:00:00,17:51:00,00:00:00,00:00:00,00:07:00,17:58:00,17:58:00,17:51:00,Procede
Septiembre,38,Jueves,2013-09-19,20:00:00,18:25:00,00:00:00,00:00:00,00:13:00,18:38:00,18:38:00,18:25:00,Procede
Septiembre,38,Viernes,2013-09-20,20:00:00,19:01:00,00:00:00,00:00:00,00:07:00,19:08:00,19:08:00,19:01:00,Procede
Septiembre,38,Sabado,2013-09-21,20:00:00,16:41:00,00:00:00,00:00:00,00:05:00,16:46:00,16:46:00,16:41:00,Procede
Septiembre,39,Lunes,2013-09-23,20:00:00,17:58:00,00:00:00,00:00:00,00:08:00,18:06:00,18:06:00,17:58:00,Procede
Septiembre,39,Martes,2013-09-24,20:00:00,19:52:00,00:00:00,00:00:00,00:09:00,20:01:00,20:01:00,19:52:00,Procede
Septiembre,39,Miercoles,2013-09-25,20:00:00,17:16:00,00:00:00,00:00:00,00:05:00,17:21:00,17:21:00,17:16:00,Procede
Septiembre,39,Jueves,2013-09-26,20:00:00,19:29:00,00:00:00,00:00:00,00:06:00,19:35:00,19:35:00,19:29:00,Procede
Septiembre,39,Viernes,2013-09-27,20:00:00,19:18:00,00:00:00,00:00:00,00:05:00,19:23:00,19:23:00,19:18:00,Procede
