CD JUAREZ,36,31-Aug-11,409,42,42,0,0,42,251.75,248.75,100.00%,100.00%,98.81%,08:30,19:34
CD JUAREZ,36,31-Aug-11,411,91,91,0,0,91,217.75,203.25,100.00%,100.00%,93.34%,08:09,15:57
CD JUAREZ,36,31-Aug-11,412,82,82,0,0,82,210.58,202.08,100.00%,100.00%,95.96%,07:36,16:41
CD JUAREZ,36,31-Aug-11,413,63,63,0,0,63,374.25,346.75,100.00%,100.00%,92.65%,08:25,19:20
CD JUAREZ,36,31-Aug-11,414,103,103,0,0,103,317.25,316.25,100.00%,100.00%,99.68%,07:47,19:06
CD JUAREZ,36,31-Aug-11,418,85,85,0,0,85,253.5,244.5,100.00%,100.00%,96.45%,08:54,20:28
CD JUAREZ,36,31-Aug-11,419,85,85,0,0,85,262.33,256.75,100.00%,100.00%,97.87%,08:16,18:32
CD JUAREZ,36,31-Aug-11,420,82,82,0,0,82,221.58,205.58,100.00%,100.00%,92.78%,07:57,17:16
CD JUAREZ,36,31-Aug-11,424,105,105,0,0,104,309.75,276.5,100.00%,99.05%,89.27%,09:04,19:14
CD JUAREZ,36,31-Aug-11,425,68,68,0,0,67,260.75,248.25,100.00%,98.53%,95.21%,08:35,15:58
CD JUAREZ,36,31-Aug-11,500,4,4,0,0,4,309.5,417.5,100.00%,100.00%,134.89%,16:00,16:15
CD JUAREZ,36,31-Aug-11,505,5,5,0,0,5,413.83,393.5,100.00%,100.00%,95.09%,08:00,12:57
CD JUAREZ,36,31-Aug-11,510,19,19,0,0,19,296.75,294.75,100.00%,100.00%,99.33%,08:09,17:29
CD JUAREZ,36,31-Aug-11,511,18,18,0,0,18,304.83,302.5,100.00%,100.00%,99.24%,07:53,16:27
CD JUAREZ,36,31-Aug-11,512,21,21,0,0,21,531,520,100.00%,100.00%,97.93%,08:25,18:07
CD JUAREZ,36,01-sep-11,400,87,87,0,0,87,196.25,181.75,100.00%,100.00%,92.61%,07:37,17:01
CD JUAREZ,36,01-sep-11,403,38,38,0,0,38,114.83,109.33,100.00%,100.00%,95.21%,08:08,14:09
CD JUAREZ,36,01-sep-11,406,75,75,0,0,75,360.83,347.33,100.00%,100.00%,96.26%,07:51,19:25
CD JUAREZ,36,01-sep-11,407,80,80,0,0,80,225.75,207.75,100.00%,100.00%,92.03%,08:19,17:45
CD JUAREZ,36,01-sep-11,408,95,94,0,1,94,231.25,208.25,98.95%,98.95%,90.05%,07:46,17:50
CD JUAREZ,36,01-sep-11,409,61,61,0,0,61,273.5,271.75,100.00%,100.00%,99.36%,08:20,18:11
CD JUAREZ,36,01-sep-11,411,79,79,0,0,79,258.75,249.25,100.00%,100.00%,96.33%,08:04,18:45
CD JUAREZ,36,01-sep-11,412,76,76,0,0,76,179.58,176.08,100.00%,100.00%,98.05%,08:33,14:54
CD JUAREZ,36,01-sep-11,413,72,72,0,0,72,174,167,100.00%,100.00%,95.98%,07:36,15:52
CD JUAREZ,36,01-sep-11,414,93,93,0,0,93,201.92,200.42,100.00%,100.00%,99.26%,08:03,17:50
CD JUAREZ,36,01-sep-11,418,79,79,0,0,79,190.75,186.25,100.00%,100.00%,97.64%,08:16,19:56
CD JUAREZ,36,01-sep-11,419,90,90,0,0,90,244.17,235.83,100.00%,100.00%,96.58%,07:40,18:30
CD JUAREZ,36,01-sep-11,420,87,87,0,0,87,263,251,100.00%,100.00%,95.44%,08:32,18:41
CD JUAREZ,36,01-sep-11,424,66,66,0,0,65,252.33,234.58,100.00%,98.48%,92.97%,08:10,17:43
CD JUAREZ,36,01-sep-11,425,81,81,0,0,80,197.83,185.58,100.00%,98.77%,93.81%,07:26,16:55
CD JUAREZ,36,01-sep-11,500,3,3,0,0,3,556,539.5,100.00%,100.00%,97.03%,16:45,16:51
CD JUAREZ,36,01-sep-11,505,3,3,0,0,3,88.5,84.25,100.00%,100.00%,95.20%,07:36,13:55
CD JUAREZ,36,01-sep-11,510,22,22,0,0,22,517.75,513.25,100.00%,100.00%,99.13%,08:15,19:20
CD JUAREZ,36,01-sep-11,511,27,27,0,0,27,673.83,668.17,100.00%,100.00%,99.16%,08:14,17:31
CD JUAREZ,36,01-sep-11,512,20,20,0,0,19,317.75,304.25,100.00%,95.00%,95.75%,08:06,15:58
CD JUAREZ,36,02-sep-11,400,82,82,0,0,82,242.5,229.25,100.00%,100.00%,94.54%,08:43,18:34
CD JUAREZ,36,02-sep-11,403,56,55,0,1,54,280.58,267.58,98.21%,96.43%,95.37%,08:55,19:32
CD JUAREZ,36,02-sep-11,406,92,92,0,0,92,298.75,285.25,100.00%,100.00%,95.48%,08:37,18:18
CD JUAREZ,36,02-sep-11,407,82,82,0,0,82,186.75,168.5,100.00%,100.00%,90.23%,08:29,19:44
CD JUAREZ,36,02-sep-11,408,96,95,0,1,94,332.08,317.58,98.96%,97.92%,95.63%,08:43,18:27
CD JUAREZ,36,02-sep-11,409,46,46,0,0,46,264,256.75,100.00%,100.00%,97.25%,08:34,19:08
CD JUAREZ,36,02-sep-11,411,93,93,0,0,93,209.75,190.75,100.00%,100.00%,90.94%,08:23,17:04
CD JUAREZ,36,02-sep-11,412,82,82,0,0,82,229.75,221,100.00%,100.00%,96.19%,07:42,17:42
CD JUAREZ,36,02-sep-11,413,77,76,1,0,75,399,374,98.70%,97.40%,93.73%,08:43,19:12
CD JUAREZ,36,02-sep-11,414,88,88,0,0,88,366.58,363.08,100.00%,100.00%,99.05%,08:25,19:10
CD JUAREZ,36,02-sep-11,418,89,89,0,0,89,267.08,258,100.00%,100.00%,96.60%,08:38,19:31
CD JUAREZ,36,02-sep-11,419,93,93,0,0,93,280.33,262.75,100.00%,100.00%,93.73%,09:05,19:22
CD JUAREZ,36,02-sep-11,420,84,84,0,0,84,181.33,173.33,100.00%,100.00%,95.59%,08:49,17:47
CD JUAREZ,36,02-sep-11,424,103,103,0,0,103,286.25,262.25,100.00%,100.00%,91.62%,08:53,20:25
CD JUAREZ,36,02-sep-11,425,84,84,0,0,84,303.33,298.33,100.00%,100.00%,98.35%,08:37,16:48
CD JUAREZ,36,02-sep-11,500,6,6,0,0,6,574,569.25,100.00%,100.00%,99.17%,08:53,16:20
CD JUAREZ,36,02-sep-11,505,6,6,0,0,5,686.5,394,100.00%,83.33%,57.39%,09:49,13:57
CD JUAREZ,36,02-sep-11,510,18,18,0,0,18,287.75,283,100.00%,100.00%,98.35%,08:57,16:29
CD JUAREZ,36,02-sep-11,511,21,21,0,0,21,561.92,555.67,100.00%,100.00%,98.89%,08:53,19:39
CD JUAREZ,36,02-sep-11,512,18,18,0,0,17,289.75,260.25,100.00%,94.44%,89.82%,09:15,15:23
CD JUAREZ,36,03-sep-11,400,109,109,0,0,109,313.17,299.17,100.00%,100.00%,95.53%,08:05,20:23
CD JUAREZ,36,03-sep-11,403,38,38,0,0,38,185.75,182.25,100.00%,100.00%,98.12%,09:00,17:06
CD JUAREZ,36,03-sep-11,406,57,57,0,0,57,287.5,280,100.00%,100.00%,97.39%,07:51,16:16
CD JUAREZ,36,03-sep-11,407,76,76,0,0,75,233.5,216.5,100.00%,98.68%,92.72%,08:35,19:22
CD JUAREZ,36,03-sep-11,408,110,109,0,1,109,304.75,297,99.09%,99.09%,97.46%,08:05,18:17
CD JUAREZ,36,03-sep-11,409,63,63,0,0,63,279.58,270.58,100.00%,100.00%,96.78%,08:08,18:26
CD JUAREZ,36,03-sep-11,411,89,89,0,0,89,307.5,288.25,100.00%,100.00%,93.74%,08:31,19:44
CD JUAREZ,36,03-sep-11,412,81,81,0,0,81,220.75,218.25,100.00%,100.00%,98.87%,08:56,15:35
CD JUAREZ,36,03-sep-11,413,103,103,0,0,103,263,245.75,100.00%,100.00%,93.44%,08:50,17:19
CD JUAREZ,36,03-sep-11,414,106,106,0,0,105,337.25,327.75,100.00%,99.06%,97.18%,08:41,19:29
CD JUAREZ,36,03-sep-11,418,84,84,0,0,84,211.75,205.25,100.00%,100.00%,96.93%,07:39,16:25
CD JUAREZ,36,03-sep-11,419,88,88,0,0,87,251.5,222,100.00%,98.86%,88.27%,09:08,20:52
CD JUAREZ,36,03-sep-11,420,83,83,0,0,83,282.25,265.25,100.00%,100.00%,93.98%,08:47,19:12
CD JUAREZ,36,03-sep-11,424,86,86,0,0,86,263.5,246.75,100.00%,100.00%,93.64%,08:32,19:47
CD JUAREZ,36,03-sep-11,425,82,82,0,0,82,236.25,215.25,100.00%,100.00%,91.11%,08:29,18:03
CD JUAREZ,36,03-sep-11,500,4,4,0,0,3,832.5,538.5,100.00%,75.00%,64.68%,08:41,15:18
CD JUAREZ,36,03-sep-11,505,5,5,0,0,5,303.5,303.5,100.00%,100.00%,100.00%,08:22,13:34
CD JUAREZ,36,03-sep-12,400,71,70,0,1,70,186.33,176.17,98.59%,98.59%,94.55%,08:59,14:24
CD JUAREZ,36,03-sep-12,403,56,55,1,0,55,183.17,176.58,98.21%,98.21%,96.40%,08:43,17:47
CD JUAREZ,36,03-sep-12,406,66,66,0,0,66,192.58,188.58,100.00%,100.00%,97.92%,09:14,15:54
CD JUAREZ,36,03-sep-12,407,107,107,0,0,107,259.75,255.08,100.00%,100.00%,98.20%,08:50,18:43
CD JUAREZ,36,03-sep-12,408,69,69,0,0,69,201.92,193.67,100.00%,100.00%,95.91%,08:19,14:14
CD JUAREZ,36,03-sep-12,409,37,37,0,0,37,192.33,185.83,100.00%,100.00%,96.62%,09:37,15:12
CD JUAREZ,36,03-sep-12,411,73,73,0,0,73,181.92,183.42,100.00%,100.00%,100.82%,08:50,16:04
CD JUAREZ,36,03-sep-12,412,73,73,0,0,70,229.75,201.33,100.00%,95.89%,87.63%,12:17,20:14
CD JUAREZ,36,03-sep-12,413,39,39,0,0,37,268.5,236.5,100.00%,94.87%,88.08%,08:23,15:38
CD JUAREZ,36,03-sep-12,414,70,70,0,0,70,334.42,330.42,100.00%,100.00%,98.80%,08:24,16:18
CD JUAREZ,36,03-sep-12,418,64,64,0,0,64,188.17,177.17,100.00%,100.00%,94.15%,08:29,16:38
CD JUAREZ,36,03-sep-12,419,83,83,0,0,79,311.33,294.42,100.00%,95.18%,94.57%,08:03,18:59
CD JUAREZ,36,03-sep-12,420,85,85,0,0,85,214.83,207.83,100.00%,100.00%,96.74%,10:43,21:19
CD JUAREZ,36,03-sep-12,424,61,61,0,0,61,203.75,204.33,100.00%,100.00%,100.28%,09:46,16:44
CD JUAREZ,36,03-sep-12,425,70,70,0,0,70,191.75,190.42,100.00%,100.00%,99.31%,10:01,17:27
CD JUAREZ,36,03-sep-12,426,51,51,0,0,49,296.33,287.83,100.00%,96.08%,97.13%,09:28,16:26
CD JUAREZ,36,03-sep-12,500,3,3,0,0,3,543.16,539.5,100.00%,100.00%,99.33%,08:44,14:05
CD JUAREZ,36,03-sep-12,505,2,2,0,0,2,209,199.5,100.00%,100.00%,95.45%,08:42,11:13
CD JUAREZ,36,03-sep-12,510,10,10,0,0,10,157.25,154.75,100.00%,100.00%,98.41%,10:04,15:00
CD JUAREZ,36,03-sep-12,511,16,16,0,0,16,278.92,273.08,100.00%,100.00%,97.91%,09:05,16:17
CD JUAREZ,36,03-sep-12,512,12,12,0,0,12,212,212,100.00%,100.00%,100.00%,09:44,14:30
CD JUAREZ,36,03-sep-12,520,15,15,0,0,15,226.92,223.17,100.00%,100.00%,98.35%,09:04,15:16
CD JUAREZ,36,04-sep-12,400,79,79,0,0,79,269.75,267.75,100.00%,100.00%,99.26%,08:19,17:10
CD JUAREZ,36,04-sep-12,403,40,40,0,0,39,121.58,117.33,100.00%,97.50%,96.50%,09:07,14:16
CD JUAREZ,36,04-sep-12,406,73,73,0,0,72,479,452.75,100.00%,98.63%,94.52%,08:13,18:55
CD JUAREZ,36,04-sep-12,407,103,103,0,0,103,335.58,330.92,100.00%,100.00%,98.61%,08:28,18:08
CD JUAREZ,36,04-sep-12,408,84,84,0,0,84,230.5,228,100.00%,100.00%,98.92%,08:15,17:30
CD JUAREZ,36,04-sep-12,409,51,51,0,0,51,242.25,242,100.00%,100.00%,99.90%,08:36,18:08
CD JUAREZ,36,04-sep-12,411,84,84,0,0,83,337.33,333.42,100.00%,98.81%,98.84%,09:03,20:32
CD JUAREZ,36,04-sep-12,412,91,91,0,0,91,275.5,273.75,100.00%,100.00%,99.36%,09:07,18:58
CD JUAREZ,36,04-sep-12,413,81,81,0,0,80,271.08,252.25,100.00%,98.77%,93.05%,08:27,16:24
CD JUAREZ,36,04-sep-12,414,101,101,0,0,100,280.42,272.5,100.00%,99.01%,97.18%,08:08,16:40
CD JUAREZ,36,04-sep-12,418,93,93,0,0,93,347,331.67,100.00%,100.00%,95.58%,09:28,19:29
CD JUAREZ,36,04-sep-12,419,88,87,1,0,80,255.08,245.92,98.86%,90.91%,96.41%,08:55,18:58
CD JUAREZ,36,04-sep-12,420,104,104,0,0,101,307.25,276.92,100.00%,97.12%,90.13%,09:24,18:26
CD JUAREZ,36,04-sep-12,424,79,78,1,0,77,404.25,396,98.73%,97.47%,97.96%,10:22,19:20
CD JUAREZ,36,04-sep-12,425,79,79,0,0,77,273,260.58,100.00%,97.47%,95.45%,08:36,18:37
CD JUAREZ,36,04-sep-12,426,105,105,0,0,104,248.5,234.42,100.00%,99.05%,94.33%,09:09,20:03
CD JUAREZ,36,04-sep-12,500,3,3,0,0,3,705.5,681.5,100.00%,100.00%,96.60%,09:59,15:24
CD JUAREZ,36,04-sep-12,505,5,5,0,0,5,532.17,439.67,100.00%,100.00%,82.62%,12:19,15:22
