2014/05/24,Sin asignar,3,1001698,4825,2,2.1,3.1,0
2014/05/24,Sin asignar,3,1001727,1779,4,2.5,2.6,0
2014/05/24,Sin asignar,3,1001771,1783,2,1.8,2.4,0
2014/05/24,Sin asignar,3,1001806,1424,3,2.3,2.9,0
2014/05/24,Sin asignar,3,1001837,7957,2,1.8,2.4,0
2014/05/24,Sin asignar,3,1001852,3515,9,4.5,4.5,0
2014/05/24,Sin asignar,3,1001860,5549,3,3,3,0
2014/05/24,Sin asignar,3,1001877,2740,8,4,4,0
2014/05/24,Sin asignar,3,1001945,2240,11,8.5,11,0
2014/05/24,Sin asignar,3,1001950,8131,4,2,2,0
2014/05/24,Sin asignar,3,1002041,3950,4,2.8,3.5,0
2014/05/24,Sin asignar,3,1002168,1015,5,4,5.4,0
2014/05/24,Sin asignar,3,1002200,7959,2,2.6,3.8,0
2014/05/24,Sin asignar,3,1002221,9489,7,4.3,5.4,0
2014/05/24,Sin asignar,3,1002238,5552,10,10,11.1,0
2014/05/24,Sin asignar,3,1002305,1264,3,2.8,3.6,0
2014/05/24,Sin asignar,3,1002337,3954,4,2.8,3.4,0
2014/05/24,Sin asignar,3,1002342,8335,7,4.8,5.5,0
2014/05/24,Sin asignar,3,1002357,8342,2,1,1.2,0
2014/05/24,Sin asignar,3,1002377,509,2,2.7,3.9,0
2014/05/24,Sin asignar,3,1002411,3366,2,2.7,3.9,0
2014/05/24,Sin asignar,3,1002413,3957,7,5.1,6.6,0
2014/05/24,Sin asignar,3,1002448,3524,3,1.3,1.5,0
2014/05/24,Sin asignar,3,1002450,9494,16,6.4,6.4,0
2014/05/24,Sin asignar,3,1002463,6600,1,1.3,1.9,0
2014/05/24,Sin asignar,3,1002551,4202,11,6.5,7.6,0
2014/05/24,Sin asignar,3,1002585,3367,18,20.2,28.8,0
2014/05/24,Sin asignar,3,1002602,9507,5,3.3,3.9,0
2014/05/24,Sin asignar,3,1002609,2746,6,4.6,5.8,0
2014/05/24,Sin asignar,3,1002646,3373,5,3.9,5.5,0
2014/05/24,Sin asignar,3,1002654,3964,1,1,1,0
2014/05/24,Sin asignar,3,1002681,1785,6,6.9,8.9,0
2014/05/24,Sin asignar,3,1002700,6601,1,1.3,1.9,0
2014/05/24,Sin asignar,3,1002722,8135,3,2.8,3.4,0
2014/05/24,Sin asignar,3,1002733,8138,2,1,1,0
2014/05/24,Sin asignar,3,1002738,9512,6,5.1,6.5,0
2014/05/24,Sin asignar,3,1002758,510,3,2.3,3.1,0
2014/05/24,Sin asignar,3,1003056,1790,7,4.3,5.1,0
2014/05/24,Sin asignar,3,1003064,3965,13,6.4,6.6,0
2014/05/24,Sin asignar,3,1003095,513,4,2.8,3.4,0
2014/05/24,Sin asignar,3,1003104,8140,9,3.5,3.5,0
2014/05/24,Sin asignar,3,1003168,1018,4,3.7,5.1,0
2014/05/24,Sin asignar,3,1003187,1797,9,6.6,11.1,0
2014/05/24,Sin asignar,3,1003194,2251,4,2,2.2,0
2014/05/24,Sin asignar,3,1003224,2752,10,4.8,5.6,0
2014/05/24,Sin asignar,3,1003268,3527,3,2.1,2.7,0
2014/05/24,Sin asignar,3,1003292,1267,4,3.1,4.3,0
2014/05/24,Sin asignar,3,1003303,3376,2,2.6,3.8,0
2014/05/24,Sin asignar,3,1003379,5558,5,5,2.8,0
2014/05/24,Sin asignar,3,1003391,2255,4,4.4,6,0
2014/05/24,Sin asignar,3,10034,1588,7,2.5,2.5,0
2014/05/24,Sin asignar,3,1003431,2504,3,3,3.2,0
2014/05/24,Sin asignar,3,1003450,4827,9,10.1,14.4,0
2014/05/24,Sin asignar,3,1003468,1806,2,1,1,0
2014/05/24,Sin asignar,3,1003526,9518,11,6.9,8.9,0
2014/05/24,Sin asignar,3,10061,7822,7,2.5,2.5,0
2014/05/24,Sin asignar,3,1006157,8683,8,4,4,0
