306,10606,17,136,1,1.8
306,10418,24,127,4,4.7
306,30941,21,5441,3,0.8
306,30941,21,5442,4,1
306,30941,21,6236,1,1.8
306,30941,21,6789,3,1.7
306,30941,21,7937,2,0.5
306,10164,20,136,2,3.5
306,10164,20,6236,1,1.8
306,11382,16,132,3,1.7
306,30941,21,5405,5,1.3
306,10606,17,1136,1,1.8
306,30941,21,136,1,1.8
306,8549,18,1036,1,1.8
306,8549,18,1136,1,1.8
306,8549,18,136,1,1.8
306,8549,18,5391,1,1.8
306,8549,18,9973,1,0
306,8440,15,1027,3,3.5
306,8440,15,1032,1,0.6
306,8440,15,1127,3,3.5
306,8440,15,1132,1,0.6
306,8440,15,127,3,3.5
306,11382,16,1542,1,0.5
306,6654,19,5429,2,0.5
306,10418,24,4827,6,7
306,10418,24,6227,1,1.2
306,10535,23,120,1,0.5
306,10535,23,8421,1,0.5
306,6654,19,1020,4,2
306,6654,19,1120,3,1.5
306,6654,19,120,7,3.5
306,6654,19,1220,2,1
306,6654,19,3620,2,1
306,30941,21,5406,2,0.5
306,6654,19,5406,4,1
306,125,14,1136,1,1.8
306,6654,19,5430,2,0.5
306,6654,19,6220,2,1
306,6654,19,8064,1,0.5
306,6654,19,8421,1,0.5
306,10582,22,1020,2,1
306,10582,22,1120,2,1
306,10582,22,120,2,1
306,10582,22,6220,2,1
306,30941,21,1036,1,1.8
306,30941,21,1136,1,1.8
306,6654,19,5405,4,1
306,11627,35,120,2,1
306,10534,34,1120,1,0.5
306,10534,34,120,3,1.5
306,10534,34,1220,1,0.5
306,10534,34,6220,1,0.5
306,10534,34,6228,1,0.5
306,10534,34,7628,1,0.5
306,10534,34,8064,2,1
306,10534,34,8636,1,0.3
306,10534,34,8654,1,0.3
306,8440,15,132,1,0.6
306,10534,34,8775,1,0.3
306,22660,33,132,3,1.7
306,11627,35,132,4,2.2
306,11627,35,1527,1,1.3
306,11627,35,1542,1,0.5
306,11627,35,1544,1,1
306,11628,36,175,4,7.8
306,11463,37,1036,1,1.8
306,11463,37,1236,2,3.5
306,11463,37,136,6,10.5
306,11463,37,436,1,1.8
306,11463,37,6236,1,1.8
306,10534,34,8667,1,0.3
306,16675,13,9977,1,0
306,10534,34,1028,1,0.5
306,125,14,136,1,1.8
306,125,14,6236,2,3.5
306,10602,12,1120,1,0.5
306,10602,12,120,2,1
306,10602,12,420,1,0.5
306,10602,12,427,1,1.2
306,16675,13,1036,1,1.8
306,16675,13,1136,1,1.8
306,16675,13,136,2,3.5
306,10534,34,1020,1,0.5
306,16675,13,6236,1,1.8
306,22660,33,1542,6,3
