2014/03/08,306,12,26253,7,8627,1,0.3,22:9:4
2014/03/08,306,12,25198,8,1020,2,1,22:9:4
2014/03/08,306,12,26253,7,987,3,1.9,22:9:4
2014/03/08,306,12,26253,7,8706,1,0.5,22:9:4
2014/03/08,306,12,26253,7,8705,1,0.5,22:9:4
2014/03/08,306,12,26253,7,8704,1,0.5,22:9:4
2014/03/08,306,12,26253,7,8667,2,0.5,22:9:4
2014/03/08,306,12,26253,7,8637,1,0.3,22:9:4
2014/03/08,306,12,26253,7,175,1,1.9,22:9:4
2014/03/08,306,12,26253,7,8628,1,0.3,22:9:4
2014/03/08,306,12,25198,8,127,1,1.2,22:9:4
2014/03/08,306,12,26253,7,8626,1,0.3,22:9:4
2014/03/08,306,12,26253,7,7929,1,0.6,22:9:4
2014/03/08,306,12,26253,7,7928,1,0.6,22:9:4
2014/03/08,306,12,26253,7,6227,2,2.3,22:9:4
2014/03/08,306,12,26253,7,5442,1,0.3,22:9:4
2014/03/08,306,12,26253,7,5430,2,0.5,22:9:4
2014/03/08,306,12,34450,1,132,2,1.1,22:9:4
2014/03/08,306,12,26253,7,8635,2,0.5,22:9:4
2014/03/08,306,12,11701,9,420,1,0.5,22:9:4
2014/03/08,306,12,8244,11,6220,1,0.5,22:9:4
2014/03/08,306,12,8244,11,5442,2,0.5,22:9:4
2014/03/08,306,12,8244,11,5406,2,0.5,22:9:4
2014/03/08,306,12,8244,11,5405,2,0.5,22:9:4
2014/03/08,306,12,8244,11,1544,2,1.9,22:9:4
2014/03/08,306,12,8244,11,120,1,0.5,22:9:4
2014/03/08,306,12,8244,11,1120,1,0.5,22:9:4
2014/03/08,306,12,25198,8,1120,2,1,22:9:4
2014/03/08,306,12,11701,9,427,1,1.2,22:9:4
2014/03/08,306,12,25198,8,120,4,2,22:9:4
2014/03/08,306,12,11701,9,127,1,1.2,22:9:4
2014/03/08,306,12,11701,9,120,2,1,22:9:4
2014/03/08,306,12,11701,9,1127,1,1.2,22:9:4
2014/03/08,306,12,11701,9,1027,1,1.2,22:9:4
2014/03/08,306,12,11701,9,1020,2,1,22:9:4
2014/03/08,306,12,25198,8,420,1,0.5,22:9:4
2014/03/08,306,12,25198,8,1542,1,0.5,22:9:4
2014/03/08,306,12,26253,7,1544,2,1.9,22:9:4
2014/03/08,306,12,11701,9,5405,1,0.3,22:9:4
2014/03/08,306,12,10599,2,120,2,1,22:9:4
2014/03/08,306,12,8546,3,5406,2,0.5,22:9:4
2014/03/08,306,12,8546,3,5405,2,0.5,22:9:4
2014/03/08,306,12,8546,3,5391,1,1.8,22:9:4
2014/03/08,306,12,8546,3,436,1,1.8,22:9:4
2014/03/08,306,12,8546,3,1542,1,0.5,22:9:4
2014/03/08,306,12,8546,3,136,3,5.3,22:9:4
2014/03/08,306,12,8546,3,1136,2,3.5,22:9:4
2014/03/08,306,12,26253,7,5405,1,0.3,22:9:4
2014/03/08,306,12,10599,2,127,2,2.3,22:9:4
2014/03/08,306,12,22933,4,1036,1,1.8,22:9:4
2014/03/08,306,12,10599,2,1127,1,1.2,22:9:4
2014/03/08,306,12,34450,1,7927,1,0.3,22:9:4
2014/03/08,306,12,34450,1,7923,1,0.3,22:9:4
2014/03/08,306,12,34450,1,5442,1,0.3,22:9:4
2014/03/08,306,12,34450,1,5441,1,0.3,22:9:4
2014/03/08,306,12,34450,1,5406,1,0.3,22:9:4
2014/03/08,306,12,34450,1,5405,1,0.3,22:9:4
2014/03/08,306,12,8546,3,1036,1,1.8,22:9:4
2014/03/08,306,12,26519,5,6236,1,1.8,22:9:4
2014/03/08,306,12,26253,7,1542,1,0.5,22:9:4
2014/03/08,306,12,26253,7,1527,1,1.3,22:9:4
2014/03/08,306,12,26253,7,132,1,0.6,22:9:4
2014/03/08,306,12,26253,7,127,1,1.2,22:9:4
2014/03/08,306,12,26253,7,123,2,1.9,22:9:4
2014/03/08,306,12,26253,7,1227,1,1.2,22:9:4
2014/03/08,306,12,26253,7,1023,1,1,22:9:4
2014/03/08,306,12,8546,3,6236,2,3.5,22:9:4
2014/03/08,306,12,8183,6,132,1,0.6,22:9:4
2014/03/08,306,12,8546,3,8440,1,1.8,22:9:4
2014/03/08,306,12,26519,5,5391,1,1.8,22:9:4
2014/03/08,306,12,26519,5,136,3,5.3,22:9:4
